S.no,E.no,id,rewards,사건,시간대,획득 위치 1,획득 위치 2,desc1,desc2,단서 획득 조건
,,0,우울한 남자,53,71,111,1100$1101,2043$2001,주민들의 제보. 우울해 보이는 한 남자가 이곳저곳에 신출귀몰한다고 한다. 도대체 그 남자의 정체는 무엇일까?#게다가 이 근처에 산다고 한다. 언젠간 이곳에서 한번 만날지도…,2000$2042
,,1,정보상의 존재,53,71,113,1105,2009$2051,구석진 어딘가에 정보상이 있다고 한다. 어디일까? 한번 찾아보는 것도 좋을 것 같다.,
,,2,연쇄살인의 두번째 피해자,53,71,113,1105,2010$2052,이 주택가 어딘가에 있는 연쇄살인 두번째 피해자의 집. 과연 그곳에서 이 지긋지긋한 살인의 실마리를 찾을 수 있을까?,
,,3,아이의 죽음,53,74,111,1101,2032,페스트(흑사병)가 발생했다. 불쌍한 아이…#왜 사람들은 의사가 아닌 사제를 찾은것일까?#음…아마도 의사들은 왕궁 소속이고$ 왕궁의 의사들은 값이 비싸서 인가… 하긴 우리같은 평민들이 쉽게 부를 수 있는 사람들은 아니지.,2054
,3A01,4,풍선과 배,53,72,113,1102$1103,2040$2074,매달 둘째주마다 엄청 큰 배가 항구에 온다고 한다. 그런데 풍선아저씨가 큰 배를 구경시켜준다는 말은 무엇일까? 광대가 그런 말을 한 것일까? 풍선과 배. 어울리지 않는 조합이다.,
,,5,수상한 증언,53,71,121,1010,2017$2059,수상해 보이는 남자의 증언이다. 과연 그는 이 사실을 어떻게 알고 있는 걸까? 소문을 들은 것일까? 아니면…,2019$2061
,,6,남자의 정체,53,71,123,1107$1108,2019$2061,주민들이 말한 우울한 남자. 그는 왜 자꾸 이곳을 서성이는 걸까? 그가 사건과 어떤 연관이 있는지 쫓아가 보면 알 수 있을지도.,2018$2060
,,7,커다란 유람선,53,73,512,9504,8013,커다란 유람선이 항구에 등장했다. 지금까지 한 번도 본적이 없는...,해당 시간대에서 512맵에 처음 들어가면
,,8,유람선의 진실,53,73,512l23,9510,8035,유람선이 노예 매매선이었을 줄이야... 그래... 그런 거였구나... 이렇게 큰 일이라면... 이 일의 공범자가 있을 텐데... 누구지?,
,,9,의미심장한 우편,53,72,411d12,1403,4016,수상한 우편을 열어보니 그 안에는 놀라운 사실이 있었다. 지금까지 발생한 연쇄살인에서 사용된 검은 잉크가 평민들이 감당하기 힘든 가격의 고가제품이라는 것인데… 그걸 어떻게 알고 이렇게 우편을 보낸 것일까,
